epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0197,3.29958,4.49323,2.37808,0.00033,0.01361,0.00031,7e-05,2.97008,4.40293,2.24545,9.09e-06,9.09e-06,9.09e-06
2,50.6059,3.15342,4.5,2.23598,0.00047,0.02041,0.00047,0.00016,2.83602,4.38721,2.17513,2.7e-05,2.7e-05,2.7e-05
3,73.1683,2.95343,4.46241,2.08309,0.00075,0.03401,0.00093,0.00033,2.6479,4.37341,2.09333,4.45501e-05,4.45501e-05,4.45501e-05
4,100.568,2.7757,4.35535,2.00984,0.00148,0.07517,0.00483,0.00133,2.40733,4.32702,1.94681,6.17402e-05,6.17402e-05,6.17402e-05
5,123.95,2.4193,4.30477,1.77388,0.00305,0.16463,0.04382,0.00903,2.29123,4.24685,1.81652,7.85703e-05,7.85703e-05,7.85703e-05
6,147.288,2.25244,4.19609,1.65769,0.00528,0.29456,0.07567,0.01698,2.20123,4.16071,1.66297,9.50405e-05,9.50405e-05,9.50405e-05
7,168.608,2.07001,4.09017,1.55207,0.00951,0.4881,0.10861,0.0268,2.15083,4.02217,1.50642,0.000111151,0.000111151,0.000111151
8,189.272,1.97297,3.82989,1.50759,0.01246,0.57993,0.14197,0.04419,1.96478,3.91971,1.37517,0.000126901,0.000126901,0.000126901
9,209.115,1.88974,3.63971,1.42482,0.01284,0.57993,0.17773,0.05854,1.8483,3.88817,1.31859,0.000142291,0.000142291,0.000142291
10,230.393,1.82399,3.56456,1.39993,0.01381,0.60748,0.22011,0.07818,1.70558,3.87183,1.27354,0.000157322,0.000157322,0.000157322
11,255.106,1.75083,3.45149,1.3671,0.01493,0.6483,0.25071,0.08796,1.62627,3.84917,1.25399,0.000171992,0.000171992,0.000171992
12,279.975,1.72787,3.28727,1.34334,0.01579,0.69626,0.3048,0.09462,1.56995,3.80091,1.22755,0.000186302,0.000186302,0.000186302
13,300.897,1.91736,3.34323,1.3813,0.0165,0.73129,0.33872,0.10105,1.54396,3.71582,1.19896,0.000200253,0.000200253,0.000200253
14,323.944,1.66115,3.02289,1.27739,0.78104,0.16361,0.32083,0.10271,1.5849,3.6188,1.17143,0.000213843,0.000213843,0.000213843
15,345.696,1.64145,2.78298,1.26706,0.92527,0.14106,0.38627,0.14103,1.55475,3.47019,1.15239,0.000227074,0.000227074,0.000227074
16,366.014,1.6658,2.64095,1.30398,0.96548,0.20619,0.43807,0.18997,1.44732,3.33534,1.15016,0.000239944,0.000239944,0.000239944
17,387.856,1.51128,2.44142,1.20725,0.96554,0.22469,0.48748,0.21717,1.38584,3.27091,1.15962,0.000252455,0.000252455,0.000252455
18,406.746,1.55322,2.17748,1.22504,0.96497,0.24567,0.53845,0.2311,1.36879,3.25892,1.17097,0.000264605,0.000264605,0.000264605
19,424.876,1.61622,2.2211,1.26178,0.9559,0.23801,0.56592,0.24371,1.3898,3.23212,1.17552,0.000276396,0.000276396,0.000276396
20,443.041,1.55788,2.00525,1.25107,0.97919,0.25043,0.61878,0.26822,1.40421,3.19721,1.15676,0.000287827,0.000287827,0.000287827
21,461.17,1.54942,1.98614,1.19692,0.98642,0.25055,0.63153,0.31074,1.3899,3.11316,1.15078,0.000298897,0.000298897,0.000298897
22,479.831,1.53941,1.85828,1.19492,0.94318,0.29316,0.62128,0.30838,1.37816,2.98515,1.15715,0.000309608,0.000309608,0.000309608
23,498.693,1.50429,1.77541,1.18905,0.9371,0.32101,0.64373,0.33153,1.3649,2.88103,1.15536,0.000319959,0.000319959,0.000319959
24,517.544,1.508,1.73222,1.18578,0.94898,0.32407,0.68417,0.35242,1.39324,2.79632,1.14108,0.00032995,0.00032995,0.00032995
25,536.927,1.4182,1.60652,1.14483,0.96338,0.29948,0.71144,0.36028,1.42234,2.78109,1.13212,0.000339581,0.000339581,0.000339581
26,556.4,1.52593,1.67066,1.19337,0.98477,0.18857,0.72288,0.37034,1.42566,2.8276,1.13813,0.000348851,0.000348851,0.000348851
27,576.13,1.50415,1.55234,1.16217,0.98235,0.14032,0.7282,0.39464,1.39418,2.78301,1.12888,0.000357762,0.000357762,0.000357762
28,595.187,1.44064,1.44386,1.15234,0.98235,0.14032,0.7282,0.39464,1.39418,2.78301,1.12888,0.000366313,0.000366313,0.000366313
29,613.659,1.44867,1.45341,1.17943,1,0.1925,0.79258,0.46468,1.30588,2.65868,1.10421,0.000374504,0.000374504,0.000374504
30,632.504,1.44683,1.46457,1.18146,1,0.23695,0.85035,0.50866,1.26324,2.50585,1.09713,0.000382335,0.000382335,0.000382335
31,651.821,1.45282,1.38141,1.16916,1,0.23695,0.85035,0.50866,1.26324,2.50585,1.09713,0.000389806,0.000389806,0.000389806
32,671.475,1.41263,1.38014,1.15165,0.99081,0.33895,0.89607,0.52811,1.28284,2.38592,1.08684,0.000396918,0.000396918,0.000396918
33,689.792,1.34939,1.36583,1.12161,0.98041,0.44757,0.92794,0.53333,1.29929,2.32001,1.08237,0.000403669,0.000403669,0.000403669
34,706.98,1.38146,1.3082,1.12191,0.98041,0.44757,0.92794,0.53333,1.29929,2.32001,1.08237,0.00041006,0.00041006,0.00041006
35,724.036,1.38718,1.32013,1.10668,0.96949,0.44654,0.92627,0.55194,1.26983,2.28104,1.09536,0.000416091,0.000416091,0.000416091
36,741.723,1.33798,1.31489,1.10396,0.95532,0.42405,0.91108,0.56466,1.26919,2.27549,1.10149,0.000421762,0.000421762,0.000421762
37,758.905,1.33594,1.22359,1.09798,0.95532,0.42405,0.91108,0.56466,1.26919,2.27549,1.10149,0.000427074,0.000427074,0.000427074
38,776.498,1.30829,1.23354,1.08092,0.92538,0.44558,0.92857,0.59813,1.24697,2.15097,1.09808,0.000432025,0.000432025,0.000432025
39,793.684,1.34488,1.21248,1.12703,0.91634,0.52291,0.94557,0.61181,1.23034,2.04599,1.09062,0.000436616,0.000436616,0.000436616
40,810.733,1.3381,1.1888,1.10622,0.91634,0.52291,0.94557,0.61181,1.23034,2.04599,1.09062,0.000440848,0.000440848,0.000440848
41,827.892,1.32106,1.17932,1.13454,0.91435,0.54625,0.95949,0.60239,1.27176,2.03303,1.08751,0.000444719,0.000444719,0.000444719
42,845.256,1.25714,1.11281,1.08928,0.93521,0.47819,0.96398,0.60115,1.26552,2.092,1.10603,0.000448231,0.000448231,0.000448231
43,862.878,1.28297,1.1114,1.09526,0.93521,0.47819,0.96398,0.60115,1.26552,2.092,1.10603,0.000451382,0.000451382,0.000451382
44,880.371,1.29893,1.12553,1.10611,0.93101,0.50141,0.96299,0.62212,1.22808,2.01236,1.09519,0.000454174,0.000454174,0.000454174
45,897.243,1.27718,1.04597,1.08201,0.93101,0.50141,0.96299,0.62212,1.22808,2.01236,1.09519,0.000456605,0.000456605,0.000456605
46,914.095,1.29108,1.04985,1.07147,0.92193,0.58085,0.94581,0.61012,1.24002,1.90785,1.07157,0.000458677,0.000458677,0.000458677
47,930.964,1.31806,1.10492,1.09359,0.92193,0.58085,0.94581,0.61012,1.24002,1.90785,1.07157,0.000460389,0.000460389,0.000460389
48,948.179,1.3299,1.09748,1.10591,0.91458,0.69837,0.94775,0.60349,1.26198,1.82736,1.06679,0.00046174,0.00046174,0.00046174
49,966.337,1.36985,1.10259,1.13774,0.91458,0.69837,0.94775,0.60349,1.26198,1.82736,1.06679,0.000462732,0.000462732,0.000462732
50,983.477,1.34203,1.09496,1.07295,0.9152,0.74585,0.96344,0.64807,1.16652,1.73398,1.04759,0.000463364,0.000463364,0.000463364
